image,label,item-count,item-key
/img/url/path/Data Protection.png,Data Protection,1,Data Protection
/img/url/path/Data Mining.png,Data Mining,1,Data Mining
/img/url/path/Reinforcement Learning.png,Reinforcement Learning,1,Reinforcement Learning
/img/url/path/Supervised Learning.png,Supervised Learning,1,Supervised Learning
/img/url/path/Quantum Computing.png,Quantum Computing,1,Quantum Computing
/img/url/path/Swarm Intelligence.png,Swarm Intelligence,1,Swarm Intelligence
/img/url/path/Tensor Processing Unit.png,Tensor Processing Unit,1,Tensor Processing Unit
/img/url/path/FontSGenerative Adversarial Network.png,FontSGenerative Adversarial Network,1,FontSGenerative Adversarial Network
/img/url/path/Computer Vision.png,Computer Vision,1,Computer Vision
/img/url/path/Recurrent Neural Network.png,Recurrent Neural Network,1,Recurrent Neural Network
/img/url/path/Hacker.png,Hacker,1,Hacker
/img/url/path/Data Scientist.png,Data Scientist,1,Data Scientist
/img/url/path/Data Center.png,Data Center,1,Data Center
/img/url/path/CPU Voltage Spike.png,CPU Voltage Spike,1,CPU Voltage Spike
/img/url/path/Neural Network.png,Neural Network,1,Neural Network
/img/url/path/Genetic Algorithms.png,Genetic Algorithms,1,Genetic Algorithms
/img/url/path/Cloud Computing.png,Cloud Computing,1,Cloud Computing
/img/url/path/Data Encryption.png,Data Encryption,1,Data Encryption
/img/url/path/Cyborg.png,Cyborg,1,Cyborg
/img/url/path/Blockchain.png,Blockchain,1,Blockchain
/img/url/path/5G Network.png,5G Network,1,5G Network
/img/url/path/Self Driving Car.png,Self Driving Car,1,Self Driving Car
/img/url/path/Virtual Reality.png,Virtual Reality,1,Virtual Reality
/img/url/path/Wearable Tech.png,Wearable Tech,1,Wearable Tech
/img/url/path/Industrial Automation.png,Industrial Automation,1,Industrial Automation
/img/url/path/SuperComputer.png,SuperComputer,1,SuperComputer
/img/url/path/Unmanned Aerial Vehicles.png,Unmanned Aerial Vehicles,1,Unmanned Aerial Vehicles
/img/url/path/Digital Assistant.png,Digital Assistant,1,Digital Assistant
/img/url/path/Robot vacuum.png,Robot vacuum,1,Robot vacuum
/img/url/path/Non Player Character.png,Non Player Character,1,Non Player Character
/img/url/path/Virtual Private Network .png,Virtual Private Network ,1,Virtual Private Network 
/img/url/path/Firewall.png,Firewall,1,Firewall
/img/url/path/Decision Tree.png,Decision Tree,1,Decision Tree
/img/url/path/Natural Language Processing.png,Natural Language Processing,1,Natural Language Processing
/img/url/path/Recommender System.png,Recommender System,1,Recommender System
/img/url/path/Robot dog - Sparky.png,Robot dog - Sparky,1,Robot dog - Sparky
